OBJORIG_YE,OBJORIG,OBJECTID,DATEOFCHNG,NAMN1,NAMN2,UUID,OBJVAL,NLN1,NLN2,slug,latitude,longitude,city,water_name,water,area
"1993",LK200,"3231",2014/03/05,N_A,N_A,{D25F2235-6488-4B56-8089-47560348002C},Wald,N_A,N_A,greifensee_uster_fischerb_-2,47.347436000000002,8.689880499999999,Uster,Greifensee,l,"466858"
"1993",LK200,"3231",2014/03/05,N_A,N_A,{D25F2235-6488-4B56-8089-47560348002C},Wald,N_A,N_A,greifensee_uster_fischerb_1,47.350127399999998,8.689797199999999,Uster,Greifensee,l,"467399"
"2020",TLM,"3237",2020/05/04,N_A,N_A,{5E493768-1AF2-4A48-9263-90DBFB8BE1A0},Wald,N_A,N_A,zuerichsee_zurich_kullg,47.353957299999998,8.550474299999999,Zürich,Zürichsee,l,"57219"
"2020",TLM,"3270",2020/07/14,N_A,N_A,{2BE74BD6-5CD5-4B76-93EF-0AC017F14566},Wald,N_A,N_A,urnaesch_urnaesch_meierr,47.325098599999997,9.295418800000000,Hundwil,Urnäsch,r,"134100"
"1993",LK200,"3274",2005/01/01,N_A,N_A,{9D531C02-14A7-410C-93B7-473DC17861B3},Wald,N_A,N_A,urnaesch_urnaesch_meierr,47.325098599999997,9.295418800000000,Hundwil,Urnäsch,r,"1938"
"2020",TLM,"3291",2020/05/05,N_A,N_A,{17410379-2457-40F0-91E2-6E8B8324F065},Wald,N_A,N_A,kusnachter-dorfbach-tobelweg-1-4,47.317770000000003,8.588258000000000,Küsnacht (ZH),Dorfbach,r,"114904"
"2020",TLM,"3291",2020/05/05,N_A,N_A,{17410379-2457-40F0-91E2-6E8B8324F065},Wald,N_A,N_A,zurichsee_kusnachterhorn_thirkell-whitej,47.317684900000003,8.576860200000000,Küsnacht (ZH),Zürichsee,l,"36090"
"2020",TLM,"3298",2020/05/04,N_A,N_A,{3B850D2F-1CB5-488B-8AE6-97AF730C3794},Wald,N_A,N_A,reuss,47.329869100000003,8.356849300000000,Bremgarten (AG),Reuss,r,"18736"
"2020",TLM,"3310",2020/05/04,N_A,N_A,{F4509D0C-DCA0-4657-A78A-C00E3BB8FB70},Wald,N_A,N_A,reuss,47.329869100000003,8.356849300000000,Bremgarten (AG),Reuss,r,"373777"
"1993",LK200,"3328",2005/01/01,N_A,N_A,{8E3C3242-8BD2-477B-92F1-50459DEA191F},Wald,N_A,N_A,urnaesch_urnaesch_meierr,47.325098599999997,9.295418800000000,Hundwil,Urnäsch,r,"150230"
"2020",TLM,"3331",2020/05/04,N_A,N_A,{4AED6577-1971-40FC-AF55-7E076FDD9A32},Wald,N_A,N_A,reuss,47.329869100000003,8.356849300000000,Bremgarten (AG),Reuss,r,"406515"
"2021",TLM,"3340",2021/06/17,N_A,N_A,{E2CFF3B3-C40E-4B0F-9987-226DE4125E0C},Wald,N_A,N_A,greifensee_maur_simmenc,47.332386399999997,8.685514599999999,Maur,Greifensee,l,"2932"
"2020",TLM,"3341",2020/05/05,N_A,N_A,{D11A28A4-C2BE-4188-9052-65A2EA64A3F7},Wald,N_A,N_A,sihl_adliswil_oggi_fort,47.312421700000002,8.526254900000000,Adliswil,Sihl,r,"49"
"2020",TLM,"3341",2020/05/05,N_A,N_A,{D11A28A4-C2BE-4188-9052-65A2EA64A3F7},Wald,N_A,N_A,sihl_leimbach_kruegerm,47.325436099999997,8.519119500000000,Zürich,Sihl,r,"515463"
"2020",TLM,"3341",2020/05/05,N_A,N_A,{D11A28A4-C2BE-4188-9052-65A2EA64A3F7},Wald,N_A,N_A,sihl_zuerich_eichenbergerd,47.339588300000003,8.516696500000000,Zürich,Sihl,r,"384472"
