OBJECTID,UUID,DATUM_AEND,OBJEKTART,KANTONSNUM,KANTONSFLA,NAME,ICC,EINWOHNERZ,slug,water_name,water
"85",{3E38FFED-7B29-4D9A-A49D-72C59FD49706},2009/03/25,Kanton,CH22000000,3211.900000000000091,Vaud,CH,"814762",vidy-ruines,Lac Léman,l
"86",{285A829E-5AC4-469E-A9CE-53C581B935A2},2009/03/25,Kanton,CH22000000,3211.900000000000091,Vaud,CH,"814762",impromptu_cudrefin,Neuenburgersee,l
"86",{285A829E-5AC4-469E-A9CE-53C581B935A2},2009/03/25,Kanton,CH22000000,3211.900000000000091,Vaud,CH,"814762",neuenburgersee_cudrefin_mattera,Neuenburgersee,l
"89",{D9E126CE-638B-49F3-83AD-9917D2C9BB95},2009/03/25,Kanton,CH25000000,282.360000000000014,Genève,CH,"506343",arve_carouge_battistellak,Arve,r
"89",{D9E126CE-638B-49F3-83AD-9917D2C9BB95},2009/03/25,Kanton,CH25000000,282.360000000000014,Genève,CH,"506343",baby-plage-geneva,Lac Léman,l
"89",{D9E126CE-638B-49F3-83AD-9917D2C9BB95},2009/03/25,Kanton,CH25000000,282.360000000000014,Genève,CH,"506343",baby-plage-ii-geneve,Lac Léman,l
"89",{D9E126CE-638B-49F3-83AD-9917D2C9BB95},2009/03/25,Kanton,CH25000000,282.360000000000014,Genève,CH,"506343",jardin-botanique,Lac Léman,l
"89",{D9E126CE-638B-49F3-83AD-9917D2C9BB95},2009/03/25,Kanton,CH25000000,282.360000000000014,Genève,CH,"506343",pont-sous-terre,Rhône,r
"89",{D9E126CE-638B-49F3-83AD-9917D2C9BB95},2009/03/25,Kanton,CH25000000,282.360000000000014,Genève,CH,"506343",rocky-plage,Lac Léman,l
"89",{D9E126CE-638B-49F3-83AD-9917D2C9BB95},2009/03/25,Kanton,CH25000000,282.360000000000014,Genève,CH,"506343",versoix,Lac Léman,l
"89",{D9E126CE-638B-49F3-83AD-9917D2C9BB95},2009/03/25,Kanton,CH25000000,282.360000000000014,Genève,CH,"506343",villa-barton,Lac Léman,l
"90",{A301B858-8046-4692-A37C-9D6A38E84D06},2009/03/25,Kanton,CH25000000,282.360000000000014,Genève,CH,"506343",,,
"91",{0A2CDB56-FF9A-4916-BC59-567299003D4E},2009/03/25,Kanton,CH25000000,282.360000000000014,Genève,CH,"506343",,,
"92",{E807B437-A52B-4B92-91F9-45C612E2A36A},2009/03/25,Kanton,CH19000000,1404.420000000000073,Aargau,CH,"694072",aare-limmatspitz,Aare,r
"92",{E807B437-A52B-4B92-91F9-45C612E2A36A},2009/03/25,Kanton,CH19000000,1404.420000000000073,Aargau,CH,"694072",aare_brugg_buchie,Aare,r
"92",{E807B437-A52B-4B92-91F9-45C612E2A36A},2009/03/25,Kanton,CH19000000,1404.420000000000073,Aargau,CH,"694072",aare_rupperswil_badert,Aare,r
"92",{E807B437-A52B-4B92-91F9-45C612E2A36A},2009/03/25,Kanton,CH19000000,1404.420000000000073,Aargau,CH,"694072",aare_suhrespitz_badert,Aare,r
"92",{E807B437-A52B-4B92-91F9-45C612E2A36A},2009/03/25,Kanton,CH19000000,1404.420000000000073,Aargau,CH,"694072",pfaffner_rothrist_ischik,Pfaffnern,r
"92",{E807B437-A52B-4B92-91F9-45C612E2A36A},2009/03/25,Kanton,CH19000000,1404.420000000000073,Aargau,CH,"694072",reuss,Reuss,r
"92",{E807B437-A52B-4B92-91F9-45C612E2A36A},2009/03/25,Kanton,CH19000000,1404.420000000000073,Aargau,CH,"694072",reuss_ottenbach_schoenenbergerl,Reuss,r
"94",{86B2872E-6ADD-46E8-9447-2296DF685D5E},2020/12/02,Kanton,CH23000000,5224.569999999999709,Valais,CH,"348503",grand-clos,Lac Léman,l
"94",{86B2872E-6ADD-46E8-9447-2296DF685D5E},2020/12/02,Kanton,CH23000000,5224.569999999999709,Valais,CH,"348503",lavey-les-bains,Rhône,r
