yx,loc_date,date,slug,team,pcs/m,quantity
Year 5,"('baby-plage-geneva', '2020-08-18')",2020-08-18,baby-plage-geneva,ASL,2.69,269.0
Year 5,"('baby-plage-geneva', '2020-10-20')",2020-10-20,baby-plage-geneva,ASL,2.4,182.0
Year 5,"('baby-plage-ii-geneve', '2020-11-01')",2020-11-01,baby-plage-ii-geneve,EINT,1.29,68.0
Year 5,"('bain-des-dames', '2020-06-11')",2020-06-11,bain-des-dames,HD,9.69,282.0
Year 5,"('baye-de-montreux-g', '2020-05-07')",2020-05-07,baye-de-montreux-g,HD,3.26,105.0
Year 5,"('baye-de-montreux-g', '2020-06-02')",2020-06-02,baye-de-montreux-g,HD,4.220000000000001,75.0
Year 5,"('baye-de-montreux-g', '2020-07-14')",2020-07-14,baye-de-montreux-g,HD,5.8100000000000005,110.0
Year 5,"('baye-de-montreux-g', '2020-08-11')",2020-08-11,baye-de-montreux-g,HD,8.65,173.0
Year 5,"('baye-de-montreux-g', '2020-09-08')",2020-09-08,baye-de-montreux-g,HD,2.2399999999999998,71.0
Year 5,"('baye-de-montreux-g', '2020-10-15')",2020-10-15,baye-de-montreux-g,HD,2.64,55.0
Year 5,"('boiron', '2020-11-04')",2020-11-04,boiron,HD,1.76,88.0
Year 5,"('cully-plage', '2020-06-25')",2020-06-25,cully-plage,HD,3.89,47.0
Year 5,"('grand-clos', '2020-05-07')",2020-05-07,grand-clos,HD,15.92,510.0
Year 5,"('grand-clos', '2020-06-09')",2020-06-09,grand-clos,HD,15.879999999999999,538.0
Year 5,"('grand-clos', '2020-07-07')",2020-07-07,grand-clos,HD,52.730000000000004,1475.0
Year 5,"('grand-clos', '2020-08-06')",2020-08-06,grand-clos,HD,42.31,1099.0
Year 5,"('grand-clos', '2020-09-08')",2020-09-08,grand-clos,HD,13.63,616.0
Year 5,"('grand-clos', '2020-10-06')",2020-10-06,grand-clos,HD,20.78,581.0
Year 5,"('la-pecherie', '2020-06-23')",2020-06-23,la-pecherie,HD,5.6,215.0
Year 5,"('la-pecherie', '2020-10-06')",2020-10-06,la-pecherie,HD,7.16,256.0
Year 5,"('lacleman_gland_lecoanets', '2020-06-15')",2020-06-15,lacleman_gland_lecoanets,HD,1.43,72.0
Year 5,"('lacleman_gland_lecoanets', '2020-10-27')",2020-10-27,lacleman_gland_lecoanets,HD,1.4300000000000002,62.0
Year 5,"('les-vieux-ronquoz', '2020-10-15')",2020-10-15,les-vieux-ronquoz,HD,0.18,9.0
Year 5,"('maladaire', '2020-05-28')",2020-05-28,maladaire,PC,4.43,236.0
Year 5,"('maladaire', '2020-06-28')",2020-06-28,maladaire,PC,15.45,865.0
Year 5,"('maladaire', '2020-07-29')",2020-07-29,maladaire,PC,2.23,111.0
Year 5,"('maladaire', '2020-08-31')",2020-08-31,maladaire,PC,3.37,184.0
Year 5,"('maladaire', '2020-09-30')",2020-09-30,maladaire,PC,2.86,152.0
Year 5,"('maladaire', '2020-10-29')",2020-10-29,maladaire,PC,0.92,46.0
Year 5,"('parc-des-pierrettes', '2020-10-01')",2020-10-01,parc-des-pierrettes,SWE,10.08,464.0
Year 5,"('plage-de-st-sulpice', '2020-10-01')",2020-10-01,plage-de-st-sulpice,SWE,7.8500000000000005,326.0
Year 5,"('preverenges', '2020-06-07')",2020-06-07,preverenges,PC,24.25,970.0
Year 5,"('preverenges', '2020-07-09')",2020-07-09,preverenges,PC,23.74,664.0
Year 5,"('preverenges', '2020-08-13')",2020-08-13,preverenges,PC,3.46,206.0
Year 5,"('preverenges', '2020-09-08')",2020-09-08,preverenges,PC,3.6199999999999997,133.0
