slug,magnitude,hex minus,use,scaled,binned
camp-des-peches,66072,0,Strasse,0.3168238505048907,7.0
camp-des-peches,1858,0,length,0.15425175761633747,4.0
camp-des-peches,0,0,Stadtzentr,0.0,0.0
camp-des-peches,0,0,Obstanlage,0.0,0.0
camping-gwatt-strand,1316,0,dist,0.8790915163660654,18.0
camping-gwatt-strand,2737796,3282504,Siedl,0.8340571709889767,17.0
camping-gwatt-strand,356973,3282504,Wald,0.1087502102053798,3.0
camping-gwatt-strand,187735,3282504,undefined,0.0571926188056435,2.0
camping-gwatt-strand,120538,3282504,infrastructure,0.036721356622870835,1.0
camping-gwatt-strand,98327,3282504,recreation,0.029954875911803916,1.0
camping-gwatt-strand,56425,0,Strasse,0.2623114782815069,6.0
camping-gwatt-strand,450,0,length,0.03640776699029126,1.0
camping-gwatt-strand,0,0,Stadtzentr,0.0,0.0
camping-gwatt-strand,0,0,Reben,0.0,0.0
camping-gwatt-strand,0,0,Obstanlage,0.0,0.0
delta-park,433,0,dist,0.2892451569806279,6.0
delta-park,1965941,3042919,Siedl,0.6460707629746306,13.0
delta-park,620950,3042919,Wald,0.20406392677557306,5.0
delta-park,456028,3042919,undefined,0.14986531024979632,3.0
delta-park,88053,3042919,infrastructure,0.028937017383637225,1.0
delta-park,24667,3042919,recreation,0.008106361030313328,1.0
delta-park,47958,0,Strasse,0.21446694053760829,5.0
delta-park,2048,0,length,0.17015400066956812,4.0
delta-park,0,0,Stadtzentr,0.0,0.0
delta-park,0,0,Reben,0.0,0.0
delta-park,0,0,Obstanlage,0.0,0.0
erlach-camping-strand,777,0,dist,0.5190380761523046,11.0
erlach-camping-strand,91673,2301037,Reben,0.039839863505019696,1.0
erlach-camping-strand,731586,2301037,Siedl,0.3179375212132617,7.0
erlach-camping-strand,461469,2301037,Wald,0.20054827453882748,5.0
erlach-camping-strand,903311,2301037,undefined,0.3925669165684863,8.0
erlach-camping-strand,67254,2301037,infrastructure,0.029227691688573455,1.0
erlach-camping-strand,103295,2301037,recreation,0.04489062974650125,1.0
erlach-camping-strand,34254,0,Strasse,0.13702964926060496,3.0
erlach-camping-strand,1251,0,length,0.10344827586206896,3.0
erlach-camping-strand,0,0,Stadtzentr,0.0,0.0
erlach-camping-strand,0,0,Obstanlage,0.0,0.0
evole-plage,240,0,dist,0.16032064128256512,4.0
evole-plage,2946815,3650543,Siedl,0.8072264865802156,17.0
evole-plage,200637,3650543,Stadtzentr,0.0549608647261517,2.0
evole-plage,480933,3650543,Wald,0.13174286674612518,3.0
evole-plage,22158,3650543,undefined,0.006069781947507535,1.0
evole-plage,172044,3650543,infrastructure,0.047128331319477676,1.0
evole-plage,17171,3650543,recreation,0.004703683808134845,1.0
evole-plage,104215,0,Strasse,0.5323587747006537,11.0
evole-plage,1790,0,length,0.14856042852360227,3.0
evole-plage,0,0,Reben,0.0,0.0
evole-plage,0,0,Obstanlage,0.0,0.0
flibach-river-right-bank,43,0,dist,0.028724114896459586,1.0
flibach-river-right-bank,1007018,4231205,Siedl,0.23799792257761088,5.0
flibach-river-right-bank,1421531,4231205,Wald,0.33596363210952906,7.0
flibach-river-right-bank,1772712,4231205,undefined,0.4189615015107989,9.0
flibach-river-right-bank,39693,4231205,infrastructure,0.00938101557357774,1.0
flibach-river-right-bank,81233,4231205,recreation,0.019198549822095595,1.0
flibach-river-right-bank,62652,0,Strasse,0.29749843192875586,6.0
flibach-river-right-bank,3757,0,length,0.3131904921325745,7.0
